	funny	useful	review_id	text	business_id	ID_bus	stars	date	user_id	cool	total_sentiment	coffee&tea_sentiscore	coffee&tea_total_business_score
3865	0	2	2QA71mkVzBGtHk5Vc6v9dA	this place amazing best cheesesteak pizza good give will love great staff also	gp9ZESRRNLqWfgJtEzPThA	gp9ZESRRNLqWfgJtEzPThA	5	42130.789502314816	D4kXTzLxoonwVOeBE7op0Q	0	Sentiment(polarity=0.72, subjectivity=0.63)	0.0	0.0
1384	0	1	3aQ-I_aMLlLs7YY5Kg8Tlw	greats sandwiches pizzabest philly steak cheese scottsdalego tuesdays freealways good servicealways playing rocky movie	Hpi9raHlFm6prTSzFHTurg	Hpi9raHlFm6prTSzFHTurg	4	42778.95101851852	JLXlsBqt5dY1KbxbCDaD-Q	0	Sentiment(polarity=0.7, subjectivity=0.6000000000000001)	0.0	0.0
8802	0	0	l4EUNU5lMO4ohzR0fSFgcw	great coffee pastry atmosphere friendly place where settle with friends pizza delicious nice atmosphere	q-YQIvBSNZxYJl1xuB0H_w	q-YQIvBSNZxYJl1xuB0H_w	4	42651.09730324074	GTwlr8EG4syYevqjTzgUIQ	0	Sentiment(polarity=0.69375, subjectivity=0.8125)	0.0011123470522803114	0.0011123470522803114
3593	1	3	jQ249rML97Hvd1LVqYpnuw	there places where score dynamite philly cheesesteak valley this them great phillies pizza always great price bonus free delivery dont forget your driver delish food	Hpi9raHlFm6prTSzFHTurg	Hpi9raHlFm6prTSzFHTurg	5	42003.11167824074	JuKspmZtlb8xobdG8yWnZA	4	Sentiment(polarity=0.6666666666666666, subjectivity=0.7666666666666666)	0.0	0.0
7892	0	0	_o6S-gMAAiZLAeXmmLHaKw	love this place their pizza they have best salads awesome iced love sitting outside here great lunch spot great take oreganos yummy	_ZwDLtBopUHb6F2mIPFUJg	_ZwDLtBopUHb6F2mIPFUJg	3	41644.241898148146	xEXQBoPjAoYYj9xdPx7nEA	0	Sentiment(polarity=0.6571428571428571, subjectivity=0.5785714285714285)	0.0	0.0
6397	0	3	X2Yt-o471bSxkDHfi44cCw	best place around slice pasta owner from queens where they know make pizza ingredients fresh ever drakes devil dogs coffee cakes	IkLAUX7lZIWqE9_YC66SRw	IkLAUX7lZIWqE9_YC66SRw	5	42400.82258101852	B0I_fnQ4vI7TwwrQjq9Y5g	1	Sentiment(polarity=0.65, subjectivity=0.4)	-0.0011123470522803114	-0.0011123470522803114
3530	0	0	LInpS_DJMqLoqjVCy3IxLw	great food great people here that will bend over make sure youre happy cheese steaks about best pizza good fact that rocky movie always matter when should show authentic this place worth trying definitely worth returning	Hpi9raHlFm6prTSzFHTurg	Hpi9raHlFm6prTSzFHTurg	5	42133.91423611111	edctaaxM3xdPKLUgP4vNRg	0	Sentiment(polarity=0.6333333333333333, subjectivity=0.5820987654320987)	0.0	0.0
6495	0	1	nRHXj6ARGcQwlC2f5bL23A	going have downgrade pizza metro after last visit still best pizzas town service still good they took away amazing bread tapenade they used give before meal they also raised their prices substantially capriccosa pizza instead still like place five stars place thats just really good	VRC7J-ahI4em9ddhihxq5w	VRC7J-ahI4em9ddhihxq5w	4	40257.00135416666	sjWvk3DZapZ-9ULAFtDmYw	0	Sentiment(polarity=0.6, subjectivity=0.49333333333333335)	0.0	0.0
3002	0	0	aDQT_yoCO_h-TpqXjt6L0w	food great boyfriend pizza steak believe best have long time something would expect somewhere known pizza even though everything delicious five stars great customer service received from moment walked until time that left	MVg8_dWzoCtGjBvWCatjjQ	MVg8_dWzoCtGjBvWCatjjQ	5	42157.96063657408	NkjaXNtO6BmCL8cNO1grig	0	Sentiment(polarity=0.5916666666666667, subjectivity=0.5333333333333333)	0.0	0.0
8419	0	0	Hcwpl3HxwBnIiCkImjfWcg	here every morning coffee love great food great service great location would highly recommend favorite breakfast commuter sand which normally margarita pizza dinner delicious	7cK9uEV09iPmsTqOqmY3kQ	7cK9uEV09iPmsTqOqmY3kQ	5	43373.357523148145	GfZCPk1iLY_wZZoFMMZCgQ	0	Sentiment(polarity=0.5887500000000001, subjectivity=0.7550000000000001)	0.002224694104560623	0.012235817575083427
4437	0	1	XwczYyBt8tdwHS4NcUy4VA	food always great here have been many locations here phoenix food consistent every restaurant visited when family visited camelback location nieces birthday received best service waiter kara kind patient very tentative throughout whole experience just wanted make sure gave special kudos because well deserved besides great service food point ordered wings pasta pizza sandwiches appetizers grandmothers first time this restaurant very impressed with food cant wait visit again more great items menu thank team oreganos wonderful experience	dUffgo9Lh_Vk9TLuFR5ywg	dUffgo9Lh_Vk9TLuFR5ywg	5	43168.84898148148	iCQKx9z2lHlDlZe0hOSqFA	0	Sentiment(polarity=0.5838095238095238, subjectivity=0.6129100529100528)	0.0	0.0
3164	0	0	hQP4DDX37m4UO4IWrgVBKg	probably best pizza place town take entire little league team kind place more pizza grownups great location wonderful ambiance extensive affordable wine list good salads excellent pizza tira awesome napoli pizza reminds pizza devoured while italy think grazies better trying impress date dont want break bank grazie should your choice	jG1jcAeDw0pZTHCNC5kw_w	jG1jcAeDw0pZTHCNC5kw_w	5	39839.67412037037	4cMtC_whln-Z6vhjrlhYWA	0	Sentiment(polarity=0.5760416666666667, subjectivity=0.6673611111111111)	0.0	0.002224694104560623
2637	1	5	Yjv8gYeXBoQ5BudYcqBqJg	theres been this craze talk about place called jimmy johns really flippin idea they were what wasall knew that must have according their biggest fans connoisseurs tried menu items# both sooo good nice place alternative instead played pizza joint when bars inch cost anywhere from thats great deal	vhIJ91MDgUuk4Cr9Kpj1Nw	vhIJ91MDgUuk4Cr9Kpj1Nw	5	40273.988171296296	PRDGKuJaTKyABTUGRATJsQ	1	Sentiment(polarity=0.575, subjectivity=0.6375)	0.0	0.0
2112	0	1	Hsh9JFJC2mm0JcwJWdU7hQ	pita jungle easily favorite restaurant casual dinner take this location cutest atmosphere patio nice layout great pita jungle serves most delicious healthy food great price tried most things menu everything ordered been incredibly flavorful never heavy could here every husband limits once week sake budget sanity humus best town opinion felafel excellent pita lavosh sandwiches generous portions bursting with flavor pizzas wonderful tuna prepared perfectly side vegetables potatoes both amazing veggies steamed even come here diet order anything dare service generally really good having come here years have spotty service times generally when restaurant really busy when server clearly just norm	p-8AMN9Q0qwym-3Pdle20Q	p-8AMN9Q0qwym-3Pdle20Q	5	41528.596087962964	xR4engcg6Vm8xToBgKI5FA	0	Sentiment(polarity=0.5624999999999999, subjectivity=0.7125000000000001)	0.0	0.0
5838	0	5	ddOSMNQAnQtremwHhIR1dA	come here time love their breakfast coffee their chocolate chip cookies mmmm have their pizza every time come employees always friendly everyone happy there shop while wait food	7cK9uEV09iPmsTqOqmY3kQ	7cK9uEV09iPmsTqOqmY3kQ	5	42202.05650462963	_IlFzsAbNjH1HgP3d_-tsw	3	Sentiment(polarity=0.5583333333333333, subjectivity=0.7000000000000001)	0.0011123470522803114	0.012235817575083427
6657	0	1	LnZ7V0xkJIGg7mf6uLY11g	went there wednesday enjoyed wonderful family dinner moment there were greeted annabelle with smile were almost immediately kids enjoyed best grass burgers pizza steak salad server andrea awesome very friendly attentive loved place very inviting also came check table which nice touch experience there will definitely back soon thank	dThrFTK_bqo1woPvUgY70g	dThrFTK_bqo1woPvUgY70g	5	43175.772824074076	JzyrxahPFwKUjNgxugyOCw	0	Sentiment(polarity=0.5572916666666666, subjectivity=0.6208333333333333)	0.0	0.0011123470522803114
3202	0	0	kTNH4_eCSXGKEaMgpyoD8w	best places ever growing popular diners bars feel welcomed when first walk they sell craft beers like total wine saves trip also drink place best thing happy hour from opening thats great that skip from work after work drink best thing brunch served both saturday sunday mind blown cant forget steak aged tender butter bachi pizza will tongue thanks davon keith thank putting rott grapes roosevelt	hhhHgSaSl6GLtuDoDrMUZQ	hhhHgSaSl6GLtuDoDrMUZQ	5	43377.19059027778	sY7qb6JJgy8jQzBLBEVl7w	0	Sentiment(polarity=0.555, subjectivity=0.5233333333333333)	0.0	0.0
887	0	0	jbE87oGVhzLGIIn13aA7GQ	pizza might most delicious pizza ever love this place staff awesome food great atmosphere cool feels very neighborhood instead chain restaurant generic	0PMKMyfX1j7Nc4esk1RaMg	0PMKMyfX1j7Nc4esk1RaMg	5	42725.10631944444	eqyMPVqBluB4m_GlN-NacQ	0	Sentiment(polarity=0.54375, subjectivity=0.6)	0.0	0.0
3279	0	0	sbZckhpB6NPriO4vs9gHiw	diamond ruff absolutely amazing wines steaks pizza more than anything people that greeted served shared entire menu with amazing truly best find trip	PxTKXsdYqoFHWAG2amz0XQ	PxTKXsdYqoFHWAG2amz0XQ	5	42797.16484953704	1E60hyGhfjH9z2yCy_9ZRg	1	Sentiment(polarity=0.54, subjectivity=0.6449999999999999)	0.0	0.0
6404	1	0	MedV9u03pRr9tZRSbjw1gA	combo plate which delicious service very friendly attentive dont miss coffee also dont deterred appearance from outside location semi strip mall liquor pizza joints great	8kMq3UEGOTlOI-lmClK1Qw	8kMq3UEGOTlOI-lmClK1Qw	4	41819.21024305555	UIJq-239H496ZGgKUyClPQ	0	Sentiment(polarity=0.5375, subjectivity=0.6699999999999999)	0.0	0.0
2429	0	0	a9ahX1KM9ycVHUctS8EPsw	best pizza best food have years coming from arizona loved town country location kitschy atmosphere great wines great service amazing pizzas best fresh house made pastaswe hanger steak sausage potatoes cavatelli cauliflower lemon cappellini simple gorgeous feast here mesquite cake nutmeg italian were amazingwe went lunch dinner recommend this place enough favorite phoenix area wish chris bianco would move back	cs1qJvnWUg_f8g020z_3PQ	cs1qJvnWUg_f8g020z_3PQ	5	42085.862708333334	1NR0f8mhj0lsljMptGKenQ	0	Sentiment(polarity=0.5285714285714286, subjectivity=0.5255102040816326)	0.0	0.004449388209121246
4108	0	0	afPq7ILG0OktWmKDkFlbEg	great place always trying thingsvery clean store great staff busy food great subs choice fries favorite pizza awsome favorite philly steak specialty drive from gilbert here better service pizza know there others this clean have people working know what they doing	gp9ZESRRNLqWfgJtEzPThA	gp9ZESRRNLqWfgJtEzPThA	5	42080.697847222225	iD7d6utAGhNkOU3ZcZfdDw	0	Sentiment(polarity=0.525925925925926, subjectivity=0.7166666666666667)	0.0	0.0
216	0	0	pTK5sljAebutZ5DWcli-9w	pear tacos were amazing inside freezing moved patio with misters nice night they have fresh made drinks which reason gave instead stars kids liked cheese pizza fries	t61eGISz7qMOxEe7o3vwEw	t61eGISz7qMOxEe7o3vwEw	5	43357.654594907406	0I2607xLkf5YEDHMks07QQ	0	Sentiment(polarity=0.525, subjectivity=0.8)	0.0	0.0
5111	0	0		great cheese steak sandwich great pizza kitchen that cooks with love owner takes pride food clients back	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	5	43068.771898148145	Ph2-D6gyEe50Lm1gYtlxDw	0	Sentiment(polarity=0.525, subjectivity=0.525)	0.0	0.0
380	0	0	dsPyk7url2vsqWWdjD6KmQ	watch pizzeria bianco this place just good without hastle wife shared salad dont remember name lots steak lucia pizza lunch wood fired pizza perfect salad huge cant beat bread which actually made from pizza dough service excellent small place they have outdoor seating give will happy	5ykOWYZ44sUvu9qxD8rPeg	5ykOWYZ44sUvu9qxD8rPeg	5	42137.987291666665	BsBpszybogvTbkKXAnmnEA	0	Sentiment(polarity=0.5214285714285715, subjectivity=0.7142857142857143)	0.0	0.0
8525	0	3	zQjXNGJ9C4DZuFScAxlgbQ	sometimes arrive restaurant place feel like should probably someplace else figure theres probably chance your turns missing after your meal pizza metro those places good enough that should ahead risk anyways most unassuming strip malls they could have found east pizza metro humble place that serves some best pies phoenix have capricciosa whatever with prosciutto called this place awesome that cant even find their menu internet both pies were pretty good topping wise although would have preferred that they fancier olives capricciosa instead canned crust excellent best sauce right well perhaps favorite part bruschetta flatbread appetizer they give while youre waiting delicious nice touch this definitely rotation place	VRC7J-ahI4em9ddhihxq5w	VRC7J-ahI4em9ddhihxq5w	5	41476.997824074075	xwXw5HW3Y6Gr37V0KxX8sA	1	Sentiment(polarity=0.5197478991596638, subjectivity=0.6579831932773109)	0.0	0.0
9604	2	2	WCxWkKg7VTBgqFJF5qxOjg	customer service they receive wonderful staff although food ordered side caesar begin pepperoni calzone caesar dressing very fishy pizza sauce sweet	RztX0zV7ObHZD08SDUhI0Q	RztX0zV7ObHZD08SDUhI0Q	2	41760.0728125	krQZfSrQsqjEL5sHyTvNRg	0	Sentiment(polarity=0.5166666666666666, subjectivity=0.65)	0.0	0.0
8488	0	0	xQO58SVUNc04FW_UBI1ecQ	great happy hour good selection local beers perfect location night ingredients were fresh pizza dough crust fantastic good service family friendly this place doesnt take italian theme strict degree like some places have instead creating comfortable familiar place that still date worthy perfect dinner movie	IkLAUX7lZIWqE9_YC66SRw	IkLAUX7lZIWqE9_YC66SRw	4	42743.83704861111	HpgvqGYm9VivvXdaHwHKnw	1	Sentiment(polarity=0.513095238095238, subjectivity=0.6535714285714285)	0.0	-0.0011123470522803114
3403	3	14	bSXVIHfifZZvGvle9nxqFA	popped here quick happy hour meeting tuesday evening fantastic their liquor selection extremely impressive absolutely loved soda grapefruit cocktail their happy hour prices great they also serve variety pizzas hummus other munchies bartender very personable even brought bowl pretzels munch while sipping refreshing adult beverages best part they have wifi extremely rare bars have public wificoffee shops bars will absolutely back here another happy hour meeting soon also plan them visit night thank wonderful hospitality sidebar again soon	SkO0Kd4_bO4VWTzCa_k8_g	SkO0Kd4_bO4VWTzCa_k8_g	5	42530.71298611111	e6iCOIhtupBCiw-VwBvJ4A	14	Sentiment(polarity=0.5063725490196078, subjectivity=0.6583333333333333)	0.0	0.0
764	0	0	fupu36AOqE0eoJw_-huvLQ	awesome pizza favorite steak salad bread served with olives perfect meal never feel heavy overstuffed just right amount with great ambiance perfect cozy clean unassuming mastery sauce bread quality cheeses freshness	5ykOWYZ44sUvu9qxD8rPeg	5ykOWYZ44sUvu9qxD8rPeg	5	42236.52290509259	Na-K8k47REaNRxPoJ4pstg	0	Sentiment(polarity=0.5058201058201058, subjectivity=0.803968253968254)	0.0	0.0
8793	0	0	ynBOwo3OOPg8yMm_2hbz4w	pizza wings werent service wasnt either however being from cant find something west side close enough authentic delicious pizza rays week instead dominoes papa johns	zTqG5kphUBoFEApnPqeGjA	zTqG5kphUBoFEApnPqeGjA	3	42600.00067129629	effD3EP3ADjk7kd8H11i0g	0	Sentiment(polarity=0.5, subjectivity=0.75)	0.0	0.0
971	0	0	k8-2FbaSJarrXXbMsgwyKw	great place burgers fries cheesesteak pizza quick service clean	gp9ZESRRNLqWfgJtEzPThA	gp9ZESRRNLqWfgJtEzPThA	5	42387.792962962965	bwH9PtaLXZCN0yZDzHbHtA	0	Sentiment(polarity=0.5, subjectivity=0.65)	0.0	0.0
199	0	2	kT3Pvmn2fIjbdSYEJ2a9rA	doesnt more authentic than defalcos come here everything wine homemade pizza ingredients pasta gelato course their sandwiches favorites philly cheesesteak unreal dont know they purista portobello mushroom sandwich	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	5	41468.01	_V3aJ-jl5glHVtLm_6aM2A	2	Sentiment(polarity=0.5, subjectivity=0.625)	0.0	0.0
146	0	0	qa0oErXv1N--iKGKSJ-ICw	debating moving fear being miles further away from defalcos best pizza sandwiches everything cheese steak must	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	5	41862.22436342593	tm6yH-OJA3f0HmVMeJdylw	0	Sentiment(polarity=0.5, subjectivity=0.4)	0.0	0.0
9299	0	1	LEEb1acQxubQEFR6ljm-Xg	team lunch this location were able order food reasonable amount time must pretzels with beer sauce amazing team used pizza crust well ordered meat lover equivalent loved every piece remembered eating this chain years dont recall being good maybe didnt order right stuff this time they satisfied	HjXI6lKGPVNQ8dYJPtaOCg	HjXI6lKGPVNQ8dYJPtaOCg	5	42716.921261574076	xsdqu99Iq7LKXWdA0R3UKg	0	Sentiment(polarity=0.4979591836734694, subjectivity=0.7229591836734695)	0.0	0.0
5907	0	1	AW91mqESTsLHFpmF7aTf_A	tipped about this place worker made last minute decision dinner here instead easter sunday night glad food awesome skewers were great flatbread pizza huge drove around fear parking spot that wasnt hideawaysbut when inside there sign that says park anywhere towed just thought guys that were team bartending serving were very attentive server standards kind high	jsuUmIEefPjV__ads62Z5w	jsuUmIEefPjV__ads62Z5w	5	40658.69855324074	2QPq3tnBFD7e_p_tGhgAGA	0	Sentiment(polarity=0.4975, subjectivity=0.7695833333333334)	0.0	0.0
1709	0	0	H45DmLlkcKiNuzWdmojwTg	pizza best place pizza just want love caspian pizza pear staff most friendly around went during their secret opening everything turned perfectly even with staff kudos	VEorEVsg8z7Ame1oSYNBdA	VEorEVsg8z7Ame1oSYNBdA	5	43061.14469907407	R-xVY-wPz0fqMCa4JNADvQ	0	Sentiment(polarity=0.49583333333333335, subjectivity=0.6)	0.0	0.0
4581	0	0	Dgq97SKOSKzhkW126Haeuw	when want good pizza barros best when eaten restaurant fresh dont think pizza travels well starts steam affects crust good service good pizza good prices clean efficient friendly employees plenty watch game lunch specials complaints	ygZSfAsnlztdeWZOlJA2Ug	ygZSfAsnlztdeWZOlJA2Ug	5	41935.9537037037	eYrAvVk-jsInxcsqdSKdhw	0	Sentiment(polarity=0.49351851851851847, subjectivity=0.5333333333333334)	0.0	0.0
6186	0	0	Oi-jDQI2aga8CaGtTjg-mA	have always great food service here tonight school fundraiser night making super chaotic ordered veggie pizza cheese didnt check before leaving home find pepperoni pizza with cheese wasnt going worry about itchalk chaos helping teachers husband called them know jason apologetic immediately replaced order upgraded size ready minutes while understanding given circumstances evening jason made this right apology written thank zzeeks great service customers community	0rjU_WK5HxoH1fIuEpTpcg	0rjU_WK5HxoH1fIuEpTpcg	5	43327.107615740744	Bd8n9UgbN1lAC6b_JCM7Mg	0	Sentiment(polarity=0.48380952380952386, subjectivity=0.6404761904761904)	0.0	0.0
1856	0	0	C9BcQk9EHV8PNmcGePvTaQ	weve been search great pizza with attitude since coming scottsdale seven years bosco been added great list bosco last night lovely evening outside patio area very cozy quaint service outstanding pomo could really take lessons from bosco servers ordered caesar salad share which server think have been owner happily offered split pizza choice dona which delicious with melty cheese perfectly seasoned sauce salty pancetta sliced roma tomatoes before dinner teasers delicious olives fresh sourdough bread with fruity yummy olive were excellent appetite opener after dinner homemade amaretto perfect ender during visit noticed several take customers leaving with just boxes pizza three four five boxes knew arrived right place satisfy pizza cravings thanks bosco great experience	5ykOWYZ44sUvu9qxD8rPeg	5ykOWYZ44sUvu9qxD8rPeg	5	42635.764027777775	oQP2oUP2r547PP87ckuslA	0	Sentiment(polarity=0.48293233082706766, subjectivity=0.6132832080200502)	0.0	0.0
12	0	1	UF-JqzMczZ8vvp_4tPK3bQ	amazing steak cheese better than philly have ever takes little while order your food thats cause good great pizza	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	5	40622.04010416667	slfi6gf_qEYTXy90Sw93sg	0	Sentiment(polarity=0.48250000000000004, subjectivity=0.65)	0.0	0.0
3138	2	3	eC59uxJILd1UEKDP8cZctw	love this place bonus points cause hood whats love about shea just anyone turn vacant fast food restaurant strip mall parking into notch coffee shop awesome doesnt there they coffee shop that serves delicious food full some coolest most baristas city night shea perfect place grab glass wine some amazing bruschetta dinner with delicious craft beer even lavosh pizza mint lemon drop martini holy yumminess homemade green salsa bloody mary missed friend shea facebook follow them twitter make sure never miss awesome daily deals they offer another bonus that will always know what dinner	qQCsLGMncJp1xWUGnOKCQA	qQCsLGMncJp1xWUGnOKCQA	4	40862.75266203703	cRQ3UCd1NKi2jxHZpvZlTQ	2	Sentiment(polarity=0.4766666666666667, subjectivity=0.7225925925925927)	0.0	0.002224694104560623
9096	0	0	2b3nkD-xxyI3iiotkrLyvQ	always loved this place continues expand grow breakfast wonderful light homemade english muffins avocado sandwiches awesome fruit mixtures tasty great coffee sweets then have pizza fresh local ingredients sourdough crust variety flavors toppings really nice atmosphere some best chicken wings cityor anywhere wonder love this place	7cK9uEV09iPmsTqOqmY3kQ	7cK9uEV09iPmsTqOqmY3kQ	4	40475.21905092592	m5pVwzwwicHje7ij15Bwug	0	Sentiment(polarity=0.47500000000000003, subjectivity=0.6333333333333333)	0.0011123470522803114	0.012235817575083427
8248	0	0	LO9L9Qn89-BV-ZyoiCJyKA	bucks cheeseburger would almost acceptable cheeseburger were exceptional burgers served here airport with options food suppose they taking advantage captive audience plus side service good looked like folks ordered pizza were happy next time that instead	DkIEhR8behaIoSexekWV0Q	DkIEhR8behaIoSexekWV0Q	3	42196.12048611111	0sr5XR3rUujnU-gzJ0H8cg	0	Sentiment(polarity=0.47333333333333333, subjectivity=0.64)	0.0	0.004449388209121246
682	0	0	AFTIKLwoxF9QqdBUOqBlwA	excellent wood fired pizza service great food came quickly couldnt recommend pizzeria blanco more tried order mozzarella appetizer mozzarella soft buttery great peppers were very good would order again romaine salad take caesar salad excellent would order again sonny favorite from night rosa sauce parmesan cheese instead mozzarella pistachio topping very good parmesan sharp great taste little much margherita cant wrong here excellent would definitely order again	cs1qJvnWUg_f8g020z_3PQ	cs1qJvnWUg_f8g020z_3PQ	5	43111.70333333333	hWGY8i7qaMYdkVhQezXgGA	0	Sentiment(polarity=0.4729901960784314, subjectivity=0.7064705882352941)	0.0	0.004449388209121246
9531	0	3	1HhRiX2Dj4a0-s5SGiQGsw	love love this pizzeria they offer best food service town cant think anything menu that have tried calzones amazing great size pizzas hands down delicious salads fresh full flavor restaurant clean inviting great families couples customer service phenomenal team kind always attentive they greet with warm smile always ready help with questions thank having this great location sorry food would post pics didnt make	RztX0zV7ObHZD08SDUhI0Q	RztX0zV7ObHZD08SDUhI0Q	5	43224.24212962963	7YVcVf8oVKJ_qcs-hTTLHQ	0	Sentiment(polarity=0.47163742690058486, subjectivity=0.6415204678362573)	0.0	0.0
9102	0	0	wc66nkxdnyIXwIv5YuE7Xw	girls love coming here parents night costs each drop them play have pizza from wish hours were instead also daughter said pizza wasnt very good last time however pros outweigh cons fans	qfr7bHu1-VXUTQWXoSMf9g	qfr7bHu1-VXUTQWXoSMf9g	4	40791.71623842593	bhJ6ivAuSpgXP4JiKWjSZQ	0	Sentiment(polarity=0.47, subjectivity=0.4822222222222223)	0.0	0.0
3213	0	0	9uQaMkrkgHtnOOVChG65yw	love this boba place stumbled upon this place after having pizza next door great vibe love atmosphere their concept definitely unique boba great selection their drinks sweet their thai this world best thai arizona cream their diamond bars good only they look appetizing they taste great gelato creamy their chocolate toppings nice touch service really sweet welcoming staff definitely recommend found boba spot	F8lC8jHCykqPy0h2AJ9lnQ	F8lC8jHCykqPy0h2AJ9lnQ	5	43296.09065972222	9mPb1DG7SduR-JOBRD3ptQ	1	Sentiment(polarity=0.4649999999999999, subjectivity=0.65)	0.0	0.0
795	0	1	Q_yH8SneanVqEH7HHBBaPg	happy mothers nobs bloody marys mimosa coffee nomlicious food made that word margarita pizza avocado balsamic reduction good were full still whole thing perfect weather beautiful patio moms even roses nice surprise	wHq1efQVz17338k_aUOX3w	wHq1efQVz17338k_aUOX3w	5	42498.78223379629	PoCOkIsZ9QkLnJQrdHSjFg	1	Sentiment(polarity=0.4625, subjectivity=0.8062499999999999)	-0.0011123470522803114	0.013348164627363738
9410	0	0	4w2V-F9_y0HRSOBfTEpVjg	best breweries have ever been have been many breweries this favorite staff gracious hospitable friendly genuine quick spend majority visits they always great they make great recommendations knowledgeable kind attentive food amazing love ruben pablo honey pizza farm salad with steak many more ever changing beer selection best around love beer they fatality fateful other they roll never disappointed have owner other management pleasantly surprised always nice involved management team with their customers staff going brewery area make sure mcfate your list stops will above beyond your expectations	hxUxeY8DG9lhyjCVo_s-pw	hxUxeY8DG9lhyjCVo_s-pw	5	43160.0844212963	jqL4ZENF_Nvsy5EaSPlEHw	0	Sentiment(polarity=0.4623188405797101, subjectivity=0.6256038647342996)	0.0	0.0011123470522803114
